model,dimension,stratum,n,overall_score,duration_score,functional_impairment_score,traumatic_stressor_score,psychosocial_stressor_score,additional_requirements_score
gemini-3.1-flash-lite,dr,correct,149,0.574223,0.491228,0.240741,0.9,0.9,0.607887
gemini-3.1-flash-lite,dr,incorrect,81,0.440579,0.897436,0.148649,0.428571,,0.549118
gemini-3.1-flash-lite,dr,all,230,0.527157,0.65625,0.203297,0.705882,0.9,0.588857
gemini-3.5-flash,dr,correct,141,0.749232,0.809091,0.35514,1.0,1.0,0.880513
gemini-3.5-flash,dr,incorrect,72,0.689878,0.916667,0.184615,0.777778,1.0,0.889167
gemini-3.5-flash,dr,all,213,0.729169,0.851648,0.290698,0.894737,1.0,0.882549
gpt-5.4,dr,correct,116,0.864484,0.9375,0.721519,1.0,1.0,0.915283
gpt-5.4,dr,incorrect,114,0.710621,0.93578,0.666667,0.75,1.0,0.821754
gpt-5.4,dr,all,230,0.788222,0.936508,0.690608,0.85,1.0,0.866818
gpt-5.4-mini-2026-03-17,dr,correct,177,0.632186,0.706294,0.363636,0.882353,1.0,0.650247
gpt-5.4-mini-2026-03-17,dr,incorrect,53,0.593449,0.854167,0.44898,0.333333,,0.5975
gpt-5.4-mini-2026-03-17,dr,all,230,0.62326,0.743455,0.38674,0.8,1.0,0.63819
llama-3.3-70b-instruct,dr,correct,164,0.796937,0.940741,0.946154,0.857143,1.0,0.795096
llama-3.3-70b-instruct,dr,incorrect,57,0.651044,0.925926,0.90566,0.777778,0.0,0.674545
llama-3.3-70b-instruct,dr,all,221,0.759308,0.936508,0.934426,0.8125,0.9,0.774048
qwen3-235b-a22b-2507,dr,correct,167,0.603608,0.706767,0.359375,0.933333,1.0,0.632078
qwen3-235b-a22b-2507,dr,incorrect,63,0.55321,0.888889,0.293103,1.0,,0.511379
qwen3-235b-a22b-2507,dr,all,230,0.589803,0.765306,0.33871,0.95,1.0,0.599057
