model,dimension,stratum,n,mapper,conditional_mean_composite,conditional_mean_ig,ig_positive_rate,discriminating_q_rate,mean_composite,mean_dcs,redundancy_rate,early_ig_mean,active_turn_count
gemini-3.1-flash-lite,question,correct,149,llm_judge,0.522199,0.063096,0.526348,0.549285,0.538363,0.617651,0.199686,0.028561,2.154362
gemini-3.1-flash-lite,question,incorrect,81,llm_judge,0.375173,0.107903,0.556235,0.398165,0.317328,0.431968,0.262169,0.112578,4.54321
gemini-3.1-flash-lite,question,all,230,llm_judge,0.463681,0.08093,0.538243,0.489138,0.46052,0.551394,0.221691,0.062,2.995652
gemini-3.5-flash,question,correct,141,llm_judge,0.5543,0.000864,0.422327,0.592318,0.565862,0.720884,0.24754,0.021264,2.659574
gemini-3.5-flash,question,incorrect,89,llm_judge,0.583585,0.042701,0.509975,0.619495,0.457527,0.572727,0.182228,0.021961,4.404494
gemini-3.5-flash,question,all,230,llm_judge,0.566975,0.018973,0.460264,0.604081,0.523941,0.663553,0.222267,0.021565,3.334783
gpt-5.4,question,correct,112,llm_judge,0.471296,0.01705,0.327192,0.524617,0.439065,0.728446,0.313088,0.046657,3.517857
gpt-5.4,question,incorrect,109,llm_judge,0.430187,0.077595,0.474203,0.469259,0.351035,0.526963,0.253553,0.036505,5.486239
gpt-5.4,question,all,221,llm_judge,0.448739,0.050272,0.407859,0.494241,0.395647,0.62534,0.283725,0.041086,4.488688
gpt-5.4-mini-2026-03-17,question,correct,177,llm_judge,0.407485,0.087956,0.445203,0.424155,0.379375,0.54595,0.264288,0.082581,2.354286
gpt-5.4-mini-2026-03-17,question,incorrect,53,llm_judge,0.295411,0.072868,0.390952,0.312944,0.258937,0.478092,0.305623,0.07395,4.924528
gpt-5.4-mini-2026-03-17,question,all,230,llm_judge,0.379184,0.084146,0.431504,0.396072,0.351379,0.529793,0.273897,0.080402,2.951754
llama-3.3-70b-instruct,question,correct,169,llm_judge,0.33516,0.027582,0.351896,0.383706,0.277576,0.484763,0.399639,0.038067,5.197605
llama-3.3-70b-instruct,question,incorrect,61,llm_judge,0.314519,0.080504,0.417558,0.366211,0.296548,0.351455,0.377771,0.082013,6.278689
llama-3.3-70b-instruct,question,all,230,llm_judge,0.329135,0.043028,0.37106,0.3786,0.282652,0.44604,0.393788,0.050893,5.486842
qwen3-235b-a22b-2507,question,correct,167,llm_judge,0.422141,-0.03966,0.320982,0.43706,0.430344,0.564549,0.27205,-0.061468,1.796053
qwen3-235b-a22b-2507,question,incorrect,63,llm_judge,0.248744,0.110819,0.524684,0.246469,0.195673,0.290437,0.27003,0.097592,3.095238
qwen3-235b-a22b-2507,question,all,230,llm_judge,0.367433,0.007817,0.385252,0.376927,0.36158,0.481055,0.271458,-0.011284,2.176744
