model,dimension,stratum,n,final_accuracy,turn_count,cssr,time_to_first_correct_narrowing,monotonicity_violations,redundant_turn_ratio,overcommitment_turns
gemini-3.1-flash-lite,efficiency,correct,262,0.729008,5.484733,-0.394826,4.580153,1.026718,0.656539,1.316794
gemini-3.1-flash-lite,efficiency,incorrect,83,0.614458,9.746988,-0.01218,9.927711,1.891566,0.57024,0.686747
gemini-3.1-flash-lite,efficiency,all,345,0.701449,6.510145,-0.302769,5.866667,1.234783,0.635777,1.165217
gemini-3.5-flash,efficiency,correct,256,0.648438,7.328125,-0.373249,5.695312,1.351562,0.679001,2.046875
gemini-3.5-flash,efficiency,incorrect,89,0.325843,12.505618,0.11896,12.674157,1.932584,0.628512,2.157303
gemini-3.5-flash,efficiency,all,345,0.565217,8.663768,-0.246274,7.495652,1.501449,0.665976,2.075362
gpt-5.4,efficiency,correct,295,0.688136,5.450847,-0.425702,4.650847,0.989831,0.620961,1.155932
gpt-5.4,efficiency,incorrect,50,0.68,7.16,0.229386,7.02,1.32,0.460842,0.48
gpt-5.4,efficiency,all,345,0.686957,5.698551,-0.330761,4.994203,1.037681,0.597756,1.057971
gpt-5.4-mini-2026-03-17,efficiency,correct,267,0.632959,13.906367,-0.244931,9.0,1.374532,0.757989,5.082397
gpt-5.4-mini-2026-03-17,efficiency,incorrect,78,0.538462,20.884615,-0.023103,19.538462,2.038462,0.709421,4.0
gpt-5.4-mini-2026-03-17,efficiency,all,345,0.611594,15.484058,-0.194779,11.382609,1.524638,0.747008,4.837681
llama-3.3-70b-instruct,efficiency,correct,269,0.535316,20.535316,-0.244861,12.899628,1.94052,0.833423,5.643123
llama-3.3-70b-instruct,efficiency,incorrect,76,0.381579,27.039474,-0.042591,25.394737,2.592105,0.795378,5.592105
llama-3.3-70b-instruct,efficiency,all,345,0.501449,21.968116,-0.200303,15.652174,2.084058,0.825042,5.631884
qwen3-235b-a22b-2507,efficiency,correct,324,0.512346,4.003086,-0.406385,3.987654,0.864198,0.639744,0.617284
qwen3-235b-a22b-2507,efficiency,incorrect,21,0.380952,6.619048,0.087581,7.333333,1.333333,0.5437,0.761905
qwen3-235b-a22b-2507,efficiency,all,345,0.504348,4.162319,-0.376318,4.191304,0.892754,0.633898,0.626087
