model,n_episodes,n_valid,n_parse_errors,n_structured_checklist,overall_score,symptom_satisfaction_score,duration_score,functional_impairment_score,traumatic_stressor_score,psychosocial_stressor_score,additional_requirements_score
gemini-3.1-flash-lite,230,222,8,0,0.4136,0.3574,0.6562,0.2033,0.7059,0.9,0.5889
gemini-3.5-flash,213,212,1,0,0.6235,0.5211,0.8516,0.2907,0.8947,1.0,0.8825
gpt-5.4,230,219,11,230,0.7187,0.6188,0.9365,0.6906,0.85,1.0,0.8668
gpt-5.4-mini-2026-03-17,230,222,8,0,0.5061,0.4443,0.7435,0.3867,0.8,1.0,0.6382
llama-3.3-70b-instruct,221,217,4,221,0.657,0.4835,0.9365,0.9344,0.8125,0.9,0.774
qwen3-235b-a22b-2507,230,226,4,0,0.4771,0.3823,0.7653,0.3387,0.95,1.0,0.5991
