model,n_episodes,n_valid,n_parse_errors,n_structured_checklist,overall_score,symptom_satisfaction_score,duration_score,functional_impairment_score,traumatic_stressor_score,psychosocial_stressor_score,additional_requirements_score
gemini-3.1-flash-lite,345,345,0,345,0.7162,0.6205,0.83,0.9862,1.0,1.0,0.7024
gemini-3.5-flash,341,339,2,341,0.8351,0.7536,0.949,0.9965,0.9655,1.0,0.7774
gpt-5.4,345,343,2,345,0.8129,0.7632,0.8188,0.9236,1.0,1.0,0.8114
gpt-5.4-mini-2026-03-17,344,340,4,344,0.8583,0.8101,0.8746,0.9931,1.0,1.0,0.8324
llama-3.3-70b-instruct,340,340,0,340,0.7104,0.6039,0.899,0.9965,1.0,1.0,0.6186
qwen3-235b-a22b-2507,343,343,0,343,0.6081,0.5006,0.745,0.9544,0.9667,1.0,0.5036
